market,slug,clobID,closingDate,outcome,probability7d,probability6d,probability5d,probability4d,probability3d,probability2d,probability1d,volume
Hailey Welch jail in 2024?,hailey-welch-jail-in-2024,34569911244363255408079360923105454762770830274578758529691215843631364093452,2024-12-31T12:00:00Z,True,0.992,0.9875,0.996,0.9965,0.996,0.996,0.9965,246156.101759
"Will Trump say ""mog"" in 2024?",will-trump-say-mog-in-2024,20726638092063466236740849359320935735208380751346051924997373433993435834728,2024-12-31T12:00:00Z,True,0.971,0.9755,0.9875,0.9905,0.994,0.9915,0.993,252492.688881
30m Bluesky users in December?,30m-bluesky-users-in-december,53682807783967974593163514876591981036193717921935202080184470406789223342312,2024-12-31T12:00:00Z,True,0.971,0.9885,0.9935,0.995,0.993,0.993,0.994,255107.426076
10+ monkeypox cases in US in 2024?,10-monkeypox-cases-in-us-in-2024,13665136495710255940010364124132907069615308570954140029596833610047729358042,2024-12-31T12:00:00Z,True,0.992,0.9915,0.994,0.995,0.995,0.995,0.995,276382.164970001
MetaMask airdrop in 2024?,metamask-airdrop-in-2024,108389981661451689883163303974723302136693551941454276649483908393020844014741,2024-12-31T12:00:00Z,True,0.996,0.9945,0.9865,0.994,0.9975,0.994,0.9985,276843.482974002
Will TRUMP reach $1b first?,will-trump-reach-1b-first,7695364053559851664815680575359142729447686964007088088684002101709152706732,2024-12-31T12:00:00Z,True,0.9985,0.998,0.996,0.998,0.998,0.9995,0.9995,277606.838999
TikTok banned in the US in 2024?,tiktok-banned-in-the-us-in-2024,92183702303563122069416277238283804483148544865270859128510579897460690048203,2024-12-31T12:00:00Z,True,0.9935,0.9935,0.997,0.9965,0.9985,0.997,0.996,283212.138776999
Megaquake in December?,megaquake-in-december,35661716101357036504092610012220394896514503375155478720969676520073039535905,2024-12-31T12:00:00Z,True,0.975,0.9755,0.986,0.99,0.9905,0.9905,0.996,286208.249828
Will five or more SpaceX Starship launches successfully reach outer space in 2024?,will-five-or-more-spacex-starship-launches-successfully-reach-outer-space-in-2024,81038262593210075354215333997808703063284511472276244847983080854149123925511,2024-12-31T12:00:00Z,True,0.983,0.9895,0.9855,0.993,0.9955,0.9975,0.9965,286410.217119
Berachain airdrop in 2024?,berachain-airdrop-in-2024,63054800221116677834817881578008999855422834663860534062042732649621640444583,2024-12-31T12:00:00Z,True,0.954,0.965,0.9915,0.9905,0.996,0.9975,0.996,289862.730064
Will Olexandr Bortnyk win the 2024 World Blitz Championship?,will-olexandr-bortnyk-win-the-2024-world-blitz-championship-open,59910163532692537373243716301349564732535751021169913373983528391007143240615,2024-12-31T12:00:00Z,True,0.97,0.9925,0.991,0.9925,0.9895,0.989,0.991,296859.775763
Will Ben Finegold win the 2024 World Blitz Championship?,will-ben-finegold-win-the-2024-world-blitz-championship,106576703417058192553928424885832595481598602694733260905366765075056635564645,2024-12-31T12:00:00Z,True,,,,,0.9995,0.975,0.9995,312882.865
Another Iran strike on Israel in 2024?,another-iran-strike-on-israel-in-2024,15150201125006927303530925266095302188276354307820114493059773825564127445663,2024-12-31T12:00:00Z,True,0.9715,0.9895,0.986,0.991,0.995,0.995,0.995,3168665.68746599
Trudeau no confidence motion passes in 2024?,trudeau-no-confidence-motion-passes-in-2024,62174929690198802834252683415458104836423578128110878161887151051180641284103,2024-12-31T12:00:00Z,True,0.984,0.993,0.9935,0.994,0.995,0.993,0.995,316982.121414
Pavel Durov leaves France in 2024?,pavel-durov-leaves-france-in-2024,67905195975590187708269389180075848246449628535549684616368981560914976878348,2024-12-31T12:00:00Z,True,0.951,0.9395,0.975,0.98,0.988,0.988,0.9845,320948.419699999
Will Biden resign in 2024?,will-biden-resign-in-2024,45769803950367648053029256551340506510786993993367307336781011737962971599351,2024-12-31T12:00:00Z,True,0.985,0.9935,0.9925,0.9945,0.9945,0.9965,0.997,3268286.193089
2024 December hottest on record?,2024-december-hottest-on-record,49800068870148311364713239174036020506554560116608212307389917433924894407979,2024-12-31T12:00:00Z,True,0.972,0.9795,0.9755,0.984,0.9835,0.985,0.9845,326923.521931
Henry Cavill announced as next James Bond?,henry-cavill-announced-as-next-james-bond,15689933950391663206664315906845711271853045861507143124541398615962179259380,2024-12-31T05:00:00Z,True,0.993,0.9945,0.978,0.992,0.9965,0.9975,0.998,329246.256953
Will Daniil Dubov win the 2024 World Blitz Championship?,will-daniil-dubov-win-the-2024-world-blitz-championship,106345983104814303640813006477358893903086719682368534654854232242626129979910,2024-12-31T12:00:00Z,True,0.981,0.9735,0.974,0.9735,0.9645,0.9575,0.9645,334425.634114
Cosmo Jarvis announced as next James Bond?,cosmo-jarvis-announced-as-next-james-bond,55979105007280795091549573297631357350960561385811189846056479282533098010472,2024-12-31T12:00:00Z,True,0.9975,0.998,0.9845,0.9965,0.9995,0.9975,0.994,337809.066524
Raj Rao announced as next BlackRock CEO?,raj-rao-announced-as-next-blackrock-ceo,24743863778230935015114156049436763412418968882410349371256878173916009229762,2024-12-31T12:00:00Z,True,0.995,0.995,0.995,0.997,0.9975,0.9995,0.9995,345429.512417
Will the US confirm that aliens exist in 2024?,will-the-us-confirm-that-aliens-exist-in-2024,50046196523801527575378988405908168048191919655087960031457941160586547746014,2024-12-31T12:00:00Z,True,0.9895,0.9955,0.9945,0.9935,0.996,0.9965,0.9945,3542994.84527594
Will another person win the 2024 World Blitz Championship?,will-another-person-win-the-2024-world-blitz-championship,80428904675923538940008471264353635249492864710034942355848125398728557436529,2024-12-31T12:00:00Z,False,,,,,,,0.92,3719834.652424
Supreme Court term limits in 2024?  ,supreme-court-term-limits-in-2024,47804229956804995551889912198251159282547374624088634174097391071174191289510,2024-12-31T12:00:00Z,True,0.9985,0.998,0.998,0.9955,0.9985,0.9985,0.9985,375704.245032
 New Jersey mystery drones from foreign country?,new-jersey-mystery-drones-from-foreign-country,87825895227345065680419008080410531559506526501625282161842717335488820048880,2024-12-31T12:00:00Z,True,0.9845,0.9825,0.991,0.993,0.9965,0.997,0.995,379313.921984
Base airdrop in 2024?,base-airdrop-in-2024,93177592103979143330781834120908360908830690473125539461548053426181856416675,2024-12-31T12:00:00Z,True,0.9945,0.9955,0.9985,0.994,0.9975,0.9975,0.9975,381877.394580999
Israel x Hamas ceasefire in 2024?,israel-x-hamas-ceasefire-in-2024,62176861686421375641008326482266482846235719710412165030881860547339969332278,2024-12-31T12:00:00Z,True,0.895,0.915,0.928,0.9485,0.9695,0.9815,0.991,3950958.939736
Will Gemini have the top AI model on December 31?,will-gemini-have-the-top-ai-model-on-december-31,60206665046149444079404994217646174679038944602815075083463644636546307094840,2024-12-31T12:00:00Z,True,0.775,0.865,0.855,0.86,0.955,0.9575,0.973,397871.144612
Netanyahu out in 2024?,netanyahu-out-in-2024,65021293069111509010987887343111151214753144386808759659200612562316082865549,2024-12-31T12:00:00Z,True,0.9865,0.987,0.9865,0.995,0.9945,0.909,0.9825,403309.609128994
GPT-5 not announced in 2024?,gpt5-not-announced-in-2024,44610661653504104816770551367882671639080987749261595224821636758541895063651,2024-12-31T12:00:00Z,True,0.9845,0.9855,0.987,0.987,0.993,0.9935,0.996,417554.332143005
UK civil war in 2024?,uk-civil-war-in-2024,103499173818768760547231345906588128381136288276757198285054720623385205067787,2024-12-31T12:00:00Z,True,0.999,0.999,0.9985,0.998,0.998,0.998,0.998,422061.00515
Next Israel x Hamas ceasefire in December?,next-israel-x-hamas-ceasefire-in-december,79637780179665163358383711994213755320666754713620800374830693114596014495276,2024-12-31T12:00:00Z,True,0.91,0.9195,0.946,0.943,0.9605,0.981,0.9935,432308.620376
Trudeau out in 2024?,trudeau-out-in-2024,23612044183120368198401249034063565369312779063856663633325757272948732289744,2024-12-31T12:00:00Z,True,0.979,0.9855,0.989,0.994,0.9895,0.9915,0.9965,432953.270671
Will Magnus Carlsen win the 2024 World Blitz Championship?,will-magnus-carlsen-win-the-2024-world-blitz-championship,18587970133391523876308028584351493647855276411722074791934641537248069054200,2024-12-31T12:00:00Z,False,0.56,0.615,0.61,0.615,0.9725,0.9895,0.5025,4373111.270664
Is Luigi Mangione YouTube channel real?,is-luigi-mangione-youtube-channel-real,27461868828183379908415124806354243290542570612203186373688007802335188816506,2024-12-31T12:00:00Z,True,0.99,0.9905,0.993,0.994,0.996,0.9945,0.9955,443704.43689
Global heat increase between 1.28°C and 1.30°C for 2024?,global-heat-increase-between-1pt28c-and-1pt30c-for-2024,35130243800664173296103543121536495544366492760376449554470514992851736531299,2024-12-31T12:00:00Z,True,0.942,0.958,0.9635,0.9605,0.959,0.9555,0.966,480839.240367
NYSE marketwide circuit breaker before 2025?,nyse-marketwide-circuit-breaker-before-2025,90975508577755116722419772836052269782238844083511316460947242453034522532976,2024-12-31T12:00:00Z,True,0.9765,0.994,0.9945,0.9955,0.995,0.9955,0.9955,494798.918701
U.S. military action against Iran in 2024?,us-military-action-against-iran-in-2024,94203779667566609463261414094108958746199851074506751088179777194357177121639,2024-12-31T12:00:00Z,True,0.974,0.9785,0.993,0.992,0.993,0.9935,0.9955,495157.119794
